waiting for 1 second sample...
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   858    391 215M 528M  36G  20G   1G   1G    872      7   1328    331 
   0   0   892    500 212M 528M  36G  20G   1G   1G   1152     10   3836    308 
   1   0  1469   1060 227M 528M  36G  20G   1G   1G   6612    186  11204    351 
   0   0  1111    621 224M 528M  36G  20G   1G   1G   2564     22   9368    402 
   1   0   975    867 216M 528M  36G  20G   1G   1G   7168     56   7892    251 
   0   0   958    550 215M 528M  36G  20G   1G   1G    896      7   9524    326 
   0   0  1480    823 213M 528M  36G  20G   1G   1G   1664     13   6488    531 
   0   0  1150    703 211M 528M  36G  20G   1G   1G   2304     18   5340    418 
   0   0  1337    750 208M 528M  36G  20G   1G   1G   2560     21   8768    527 
   0   0   988    479 207M 528M  36G  20G   1G   1G    768      6   1452    351 
   0   0   853    539 206M 528M  36G  20G   1G   1G   2944     23   1108    277 
   1   0  1189    893 198M 528M  36G  20G   1G   1G   4736     37   4764    376 
   0   0  1362    705 194M 528M  36G  20G   1G   1G   2560     20   6964    536 
   0   0  1083    658 226M 528M  36G  20G   1G   1G   1408     11   8616    380 
   0   0  1201    526 226M 528M  36G  20G   1G   1G   1024      8   8164    473 
   0   0  1340    531 224M 528M  36G  20G   1G   1G   1024      8   4576    553 
   0   0  1301    458 223M 528M  36G  20G   1G   1G    768      6   3612    543 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0  1086    597 222M 528M  36G  20G   1G   1G   1536     12   5604    388 
   0   0  1187    457 221M 528M  36G  20G   1G   1G    128      1   3220    471 
   1   0  1192   1343 212M 528M  36G  20G   1G   1G   7836     80   3796    253 
   3   0  3131   3646 218M 528M  36G  20G   1G   1G 159132   1273     36      7 
  13   2  2941   4232 216M 528M  36G  19G   1G   1G  88340    750     72     17 
   7   1  2707   5613 211M 528M  36G  19G   1G   1G  74364    624      8      2 
   7   1  2451   4415 220M 528M  36G  19G   1G   1G  51892    518      4      1 
   3   0  1562   3215 224M 528M  36G  19G   1G   1G  27316    245   7080     82 
   0   0   784    530 221M 528M  36G  19G   1G   1G   1336     11   8916    279 
   6   1  2358   5389 210M 528M  36G  19G   1G   1G  68712    551   2980    100 
