Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1547774126.337971,26784,3,0
1,NewOrder,1547774126.346924,26831,4,0
2,Payment,1547774126.346924,17844,0,0
2,Payment,1547774126.346924,17844,2,0
2,Payment,1547774126.347035,17731,9,0
2,Payment,1547774126.347108,17660,6,0
1,NewOrder,1547774126.347197,26561,1,0
1,NewOrder,1547774126.347469,26286,8,0
1,NewOrder,1547774126.355299,18471,7,0
1,NewOrder,1547774126.355748,18017,5,0
2,Payment,1547774126.364778,18120,3,0
1,NewOrder,1547774126.364785,18113,9,0
1,NewOrder,1547774126.364829,27307,0,0
1,NewOrder,1547774126.365090,17819,2,0
2,Payment,1547774126.365099,17937,6,0
1,NewOrder,1547774126.373778,18418,8,0
1,NewOrder,1547774126.373790,18519,4,0
1,NewOrder,1547774126.373790,18279,1,0
1,NewOrder,1547774126.373790,18360,5,0
1,NewOrder,1547774126.373821,18247,7,0
2,Payment,1547774126.382918,17814,9,0
1,NewOrder,1547774126.382921,27085,2,0
2,Payment,1547774126.382937,17794,3,0
1,NewOrder,1547774126.383056,17688,6,0
1,NewOrder,1547774126.392094,17838,1,0
5,StockLevel,1547774126.392096,6358,7,0
2,Payment,1547774126.392148,17883,0,0
2,Payment,1547774126.392165,17876,5,0
1,NewOrder,1547774126.392212,17750,8,0
2,Payment,1547774126.392321,18136,4,0
1,NewOrder,1547774126.398479,29263,7,0
1,NewOrder,1547774126.400745,17973,9,0
1,NewOrder,1547774126.400764,17924,3,0
2,Payment,1547774126.400769,17992,6,0
3,OrderStatus,1547774126.409946,2727,1,0
1,NewOrder,1547774126.409973,26848,8,0
2,Payment,1547774126.410017,17722,2,0
2,Payment,1547774126.410042,17718,0,0
1,NewOrder,1547774126.410056,17661,5,0
1,NewOrder,1547774126.410467,26400,4,0
1,NewOrder,1547774126.412687,24122,1,0
1,NewOrder,1547774126.418702,28230,3,0
2,Payment,1547774126.418731,18078,9,0
1,NewOrder,1547774126.418776,18112,6,0
2,Payment,1547774126.427729,19148,5,0
4,Delivery,1547774126.427757,28954,7,0
2,Payment,1547774126.427762,19089,2,0
1,NewOrder,1547774126.427775,19076,0,0
1,NewOrder,1547774126.436835,19823,9,0
2,Payment,1547774126.436835,19835,1,0
1,NewOrder,1547774126.436837,19821,8,0
1,NewOrder,1547774126.436882,19768,4,0
1,NewOrder,1547774126.436897,19873,6,0
1,NewOrder,1547774126.446874,485972,0,0
1,NewOrder,1547774126.446874,485487,2,0
2,Payment,1547774126.446893,485493,5,0
1,NewOrder,1547774126.446946,485415,3,0
2,Payment,1547774126.456667,476136,4,0
2,Payment,1547774126.456679,970313,9,0
2,Payment,1547774126.456680,969698,8,0
4,Delivery,1547774126.456681,969601,1,0
3,OrderStatus,1547774126.456725,2352,7,0
2,Payment,1547774126.456781,969126,6,0
2,Payment,1547774126.459086,967590,7,0
2,Payment,1547774126.932381,960643,3,0
1,NewOrder,1547774126.932393,961127,5,0
2,Payment,1547774126.932418,961060,2,0
5,StockLevel,1547774126.932812,4700,4,0
2,Payment,1547774126.932854,960151,0,0
1,NewOrder,1547774126.937526,955389,4,0
2,Payment,1547774127.425925,692873,6,0
2,Payment,1547774127.426289,467513,1,0
2,Payment,1547774127.426389,692298,8,0
1,NewOrder,1547774127.426694,692099,7,0
1,NewOrder,1547774127.427006,691682,9,0
1,NewOrder,1547774127.892929,642736,4,0
2,Payment,1547774127.893013,642824,0,0
1,NewOrder,1547774127.893032,642844,3,0
2,Payment,1547774127.893487,642400,2,0
2,Payment,1547774127.893527,642490,5,0
2,Payment,1547774127.893810,642511,1,0
2,Payment,1547774128.118714,567203,8,0
5,StockLevel,1547774128.118714,396170,9,0
1,NewOrder,1547774128.118812,567212,6,0
1,NewOrder,1547774128.118822,567347,7,0
2,Payment,1547774128.514903,171391,9,0
1,NewOrder,1547774128.535696,242914,4,0
5,StockLevel,1547774128.535861,4622,0,0
1,NewOrder,1547774128.535888,242635,3,0
1,NewOrder,1547774128.535901,242500,2,0
1,NewOrder,1547774128.536040,242456,5,0
5,StockLevel,1547774128.536331,2789,1,0
1,NewOrder,1547774128.539128,239361,1,0
2,Payment,1547774128.540496,238020,0,0
1,NewOrder,1547774128.685937,551615,8,0
2,Payment,1547774128.686036,551274,6,0
1,NewOrder,1547774128.686190,551130,7,0
2,Payment,1547774128.686307,551174,9,0
2,Payment,1547774128.778434,839307,2,0
2,Payment,1547774128.778500,839143,1,0
2,Payment,1547774128.778508,839167,5,0
1,NewOrder,1547774128.778526,839443,0,0
1,NewOrder,1547774128.778531,839296,3,0
1,NewOrder,1547774128.778626,839349,4,0
1,NewOrder,1547774129.237340,388847,6,0
1,NewOrder,1547774129.237340,388836,7,0
2,Payment,1547774129.237494,388740,9,0
2,Payment,1547774129.237575,389224,8,0
2,Payment,1547774129.617661,233761,1,0
2,Payment,1547774129.617685,367602,5,0
2,Payment,1547774129.617750,233804,2,0
1,NewOrder,1547774129.617837,443119,3,0
2,Payment,1547774129.617980,233974,0,0
2,Payment,1547774129.617992,367892,4,0
2,Payment,1547774129.626188,359900,7,0
2,Payment,1547774129.626196,359164,6,0
1,NewOrder,1547774129.626265,359018,9,0
2,Payment,1547774129.626814,358525,8,0
1,NewOrder,1547774129.851441,209378,1,0
2,Payment,1547774129.851570,209385,2,0
1,NewOrder,1547774129.851963,208988,0,0
1,NewOrder,1547774129.985302,334606,5,0
2,Payment,1547774129.985302,334871,9,0
1,NewOrder,1547774129.985357,334485,8,0
2,Payment,1547774129.985374,334655,6,0
5,StockLevel,1547774129.985900,4684,4,0
1,NewOrder,1547774129.986108,333723,7,0
2,Payment,1547774129.990606,329325,4,0
1,NewOrder,1547774130.060845,426999,1,0
2,Payment,1547774130.060969,342434,0,0
1,NewOrder,1547774130.060972,426970,3,0
1,NewOrder,1547774130.060974,426974,2,0
2,Payment,1547774130.319858,168029,7,0
1,NewOrder,1547774130.319868,168083,8,0
2,Payment,1547774130.319922,167991,5,0
3,OrderStatus,1547774130.319945,64370,4,0
2,Payment,1547774130.320043,169304,6,0
3,OrderStatus,1547774130.320187,62061,9,0
2,Payment,1547774130.382266,105546,9,0
1,NewOrder,1547774130.384333,103682,4,0
