Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1547771699.365219,25282,5,0
3,OrderStatus,1547771699.373955,3290,4,0
5,StockLevel,1547771699.377262,2696,4,0
1,NewOrder,1547771699.379970,30630,4,0
1,NewOrder,1547771699.382298,28357,8,0
1,NewOrder,1547771699.390519,28643,5,0
2,Payment,1547771699.410619,185509,4,0
5,StockLevel,1547771699.410670,3511,8,0
2,Payment,1547771699.410705,60128,1,0
1,NewOrder,1547771699.414249,22226,8,0
1,NewOrder,1547771699.419179,26148,5,0
1,NewOrder,1547771699.427667,26266,9,0
2,Payment,1547771699.436493,219186,8,0
1,NewOrder,1547771699.445314,58967,6,0
2,Payment,1547771699.445341,528113,5,0
1,NewOrder,1547771699.453950,50255,9,0
2,Payment,1547771699.470847,117155,1,0
1,NewOrder,1547771699.504224,6431,9,0
2,Payment,1547771699.504297,287218,6,0
2,Payment,1547771699.510671,102712,9,0
2,Payment,1547771699.529654,74777,2,0
2,Payment,1547771699.562980,75813,3,0
2,Payment,1547771699.588018,479339,1,0
3,OrderStatus,1547771699.596140,2082,4,0
1,NewOrder,1547771699.598237,23096,4,0
2,Payment,1547771699.604451,135917,2,0
1,NewOrder,1547771699.613397,16701,9,0
1,NewOrder,1547771699.621351,25878,4,0
1,NewOrder,1547771699.630114,25620,9,0
2,Payment,1547771699.630161,50886,7,0
3,OrderStatus,1547771699.638809,2500,3,0
2,Payment,1547771699.641325,56567,3,0
4,Delivery,1547771699.647275,25445,4,0
1,NewOrder,1547771699.655702,17008,8,0
5,StockLevel,1547771699.655793,4355,9,0
2,Payment,1547771699.660162,54895,9,0
2,Payment,1547771699.664477,109739,0,0
5,StockLevel,1547771699.672725,2708,8,0
2,Payment,1547771699.672735,179474,4,0
1,NewOrder,1547771699.675450,14373,8,0
2,Payment,1547771699.681059,206532,7,0
5,StockLevel,1547771699.689835,1918,8,0
1,NewOrder,1547771699.691767,14801,8,0
2,Payment,1547771699.697903,34020,3,0
1,NewOrder,1547771699.706582,16954,8,0
2,Payment,1547771699.715073,50386,9,0
2,Payment,1547771699.723554,25177,8,0
2,Payment,1547771699.731939,94318,3,0
1,NewOrder,1547771699.740391,16731,2,0
2,Payment,1547771699.748747,60372,8,0
1,NewOrder,1547771699.757136,25542,2,0
1,NewOrder,1547771699.765474,25940,9,0
1,NewOrder,1547771699.774238,26244,0,0
1,NewOrder,1547771699.782714,26556,2,0
1,NewOrder,1547771699.791430,26217,9,0
2,Payment,1547771699.791532,77874,6,0
4,Delivery,1547771699.800497,17045,0,0
5,StockLevel,1547771699.809133,3066,8,0
2,Payment,1547771699.809287,95288,2,0
1,NewOrder,1547771699.812216,22926,8,0
1,NewOrder,1547771699.817561,34545,0,0
1,NewOrder,1547771699.817674,34527,9,0
4,Delivery,1547771699.826280,34219,3,0
1,NewOrder,1547771699.835163,25273,8,0
1,NewOrder,1547771699.852122,17174,0,0
3,OrderStatus,1547771699.852214,1702,9,0
2,Payment,1547771699.852221,69629,4,0
1,NewOrder,1547771699.853960,24037,9,0
1,NewOrder,1547771699.860447,17548,8,0
3,OrderStatus,1547771699.860508,1770,3,0
1,NewOrder,1547771699.862286,25214,3,0
1,NewOrder,1547771699.869309,26766,0,0
1,NewOrder,1547771699.869427,18024,6,0
1,NewOrder,1547771699.878014,18057,8,0
2,Payment,1547771699.878014,223201,9,0
3,OrderStatus,1547771699.887464,2277,6,0
1,NewOrder,1547771699.887519,25755,3,0
2,Payment,1547771699.887600,103226,7,0
2,Payment,1547771699.889749,49098,6,0
1,NewOrder,1547771699.896081,17256,8,0
2,Payment,1547771699.896084,129809,0,0
2,Payment,1547771699.904588,51290,2,0
1,NewOrder,1547771699.913295,16811,3,0
2,Payment,1547771699.913351,95253,8,0
1,NewOrder,1547771699.921861,25768,4,0
1,NewOrder,1547771699.930116,17370,3,0
2,Payment,1547771699.938854,231046,6,0
1,NewOrder,1547771699.947495,17402,3,0
4,Delivery,1547771699.947639,17257,4,0
1,NewOrder,1547771699.955890,26209,2,0
1,NewOrder,1547771699.964912,25872,3,0
1,NewOrder,1547771699.964912,25888,4,0
1,NewOrder,1547771699.973480,25825,5,0
5,StockLevel,1547771699.982111,3517,2,0
3,OrderStatus,1547771699.985637,3369,2,0
2,Payment,1547771699.989017,53424,2,0
1,NewOrder,1547771699.990802,17531,3,0
3,OrderStatus,1547771699.990813,2379,4,0
1,NewOrder,1547771699.990838,25811,7,0
2,Payment,1547771699.993202,65732,4,0
2,Payment,1547771699.999320,135933,5,0
1,NewOrder,1547771700.008353,17497,3,0
2,Payment,1547771700.008616,264355,8,0
2,Payment,1547771700.016660,247440,7,0
2,Payment,1547771700.025865,161109,3,0
2,Payment,1547771700.025907,281743,0,0
2,Payment,1547771700.042464,41582,2,0
1,NewOrder,1547771700.058946,16813,4,0
2,Payment,1547771700.067367,50567,1,0
1,NewOrder,1547771700.075770,16913,4,0
2,Payment,1547771700.084057,120025,2,0
1,NewOrder,1547771700.092694,16842,4,0
2,Payment,1547771700.101230,51380,9,0
4,Delivery,1547771700.109552,16883,4,0
1,NewOrder,1547771700.117945,17194,1,0
1,NewOrder,1547771700.126448,17330,4,0
1,NewOrder,1547771700.135151,17190,1,0
1,NewOrder,1547771700.135262,34494,5,0
1,NewOrder,1547771700.143791,16978,4,0
1,NewOrder,1547771700.152354,17370,1,0
2,Payment,1547771700.152627,86012,9,0
1,NewOrder,1547771700.160787,17344,4,0
1,NewOrder,1547771700.169735,25466,1,0
2,Payment,1547771700.169766,51483,5,0
2,Payment,1547771700.169914,171479,6,0
5,StockLevel,1547771700.178147,3342,4,0
1,NewOrder,1547771700.181500,22546,4,0
1,NewOrder,1547771700.186988,25348,3,0
2,Payment,1547771700.195218,94567,1,0
1,NewOrder,1547771700.204062,17153,4,0
1,NewOrder,1547771700.204093,25659,2,0
1,NewOrder,1547771700.212350,26289,3,0
3,OrderStatus,1547771700.221233,1960,4,0
1,NewOrder,1547771700.221260,17207,5,0
2,Payment,1547771700.223203,143455,4,0
1,NewOrder,1547771700.229766,25829,2,0
1,NewOrder,1547771700.238481,25610,5,0
2,Payment,1547771700.238658,85757,9,0
1,NewOrder,1547771700.238658,25402,3,0
1,NewOrder,1547771700.255615,25942,2,0
5,StockLevel,1547771700.264075,4875,3,0
1,NewOrder,1547771700.264115,17416,5,0
1,NewOrder,1547771700.264120,17430,7,0
2,Payment,1547771700.268964,259690,3,0
2,Payment,1547771700.272985,170439,8,0
1,NewOrder,1547771700.281551,25950,5,0
1,NewOrder,1547771700.281567,17044,7,0
3,OrderStatus,1547771700.281576,2684,2,0
1,NewOrder,1547771700.284271,23311,2,0
1,NewOrder,1547771700.289797,26022,1,0
2,Payment,1547771700.298626,76258,7,0
1,NewOrder,1547771700.307515,25386,5,0
2,Payment,1547771700.307595,92834,2,0
2,Payment,1547771700.307671,50258,0,0
2,Payment,1547771700.315831,33859,1,0
2,Payment,1547771700.324436,67235,9,0
2,Payment,1547771700.332913,50262,5,0
2,Payment,1547771700.341403,84727,6,0
2,Payment,1547771700.349699,119515,1,0
2,Payment,1547771700.357941,229815,0,0
2,Payment,1547771700.366678,170528,4,0
4,Delivery,1547771700.374897,42728,7,0
2,Payment,1547771700.383192,68951,5,0
1,NewOrder,1547771700.391691,26066,9,0
1,NewOrder,1547771700.400446,25540,2,0
1,NewOrder,1547771700.417636,25661,7,0
1,NewOrder,1547771700.417774,16906,9,0
1,NewOrder,1547771700.426000,17195,2,0
2,Payment,1547771700.426143,60492,6,0
1,NewOrder,1547771700.434695,26298,9,0
1,NewOrder,1547771700.443209,17731,2,0
1,NewOrder,1547771700.443310,17580,7,0
3,OrderStatus,1547771700.443438,2552,8,0
2,Payment,1547771700.446003,74297,8,0
2,Payment,1547771700.452156,102086,5,0
1,NewOrder,1547771700.460905,17046,7,0
2,Payment,1547771700.460950,42699,2,0
2,Payment,1547771700.461008,228474,9,0
1,NewOrder,1547771700.469228,25752,1,0
2,Payment,1547771700.477967,93059,7,0
1,NewOrder,1547771700.486650,25274,6,0
2,Payment,1547771700.494992,143617,1,0
2,Payment,1547771700.503663,151796,2,0
2,Payment,1547771700.511939,92760,6,0
2,Payment,1547771700.520317,101643,8,0
2,Payment,1547771700.528667,262447,3,0
1,NewOrder,1547771700.537226,25086,4,0
1,NewOrder,1547771700.554259,25137,5,0
2,Payment,1547771700.562323,110326,4,0
3,OrderStatus,1547771700.571040,2627,7,0
2,Payment,1547771700.573679,378099,7,0
1,NewOrder,1547771700.579408,16872,5,0
2,Payment,1547771700.587772,42179,0,0
1,NewOrder,1547771700.596295,16827,5,0
2,Payment,1547771700.604708,101901,6,0
