Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1547803233.009563,144147,6,0
1,NewOrder,1547803233.009580,144070,8,0
2,Payment,1547803233.061173,193608,5,0
1,NewOrder,1547803233.061195,193482,3,0
1,NewOrder,1547803233.061308,193368,7,0
2,Payment,1547803233.061339,193427,4,0
1,NewOrder,1547803233.061392,193373,2,0
2,Payment,1547803233.153632,143721,9,0
4,Delivery,1547803233.153632,143996,1,0
1,NewOrder,1547803233.153660,144063,0,0
1,NewOrder,1547803233.153672,143822,8,0
1,NewOrder,1547803233.153730,143832,6,0
1,NewOrder,1547803233.254706,935267,3,0
1,NewOrder,1547803233.254706,935054,7,0
2,Payment,1547803233.254781,935062,4,0
2,Payment,1547803233.254781,935358,2,0
2,Payment,1547803233.254794,934943,5,0
1,NewOrder,1547803233.297375,976494,9,0
2,Payment,1547803233.297513,976817,8,0
1,NewOrder,1547803233.297575,976284,6,0
1,NewOrder,1547803233.297640,976203,1,0
2,Payment,1547803233.297733,976586,0,0
5,StockLevel,1547803234.189773,4776,5,0
1,NewOrder,1547803234.189776,101586,7,0
1,NewOrder,1547803234.189860,101660,4,0
1,NewOrder,1547803234.189991,101541,3,0
1,NewOrder,1547803234.190153,101369,2,0
1,NewOrder,1547803234.194573,96889,5,0
5,StockLevel,1547803234.273863,3216,1,0
2,Payment,1547803234.273872,44082,6,0
1,NewOrder,1547803234.273886,44061,9,0
4,Delivery,1547803234.274332,43631,0,0
1,NewOrder,1547803234.274362,43848,8,0
1,NewOrder,1547803234.277093,40849,1,0
2,Payment,1547803234.291379,418843,7,0
1,NewOrder,1547803234.291476,418852,5,0
1,NewOrder,1547803234.291532,418642,2,0
2,Payment,1547803234.291532,418754,4,0
2,Payment,1547803234.291542,418762,3,0
1,NewOrder,1547803234.317963,409577,9,0
2,Payment,1547803234.317963,409577,1,0
1,NewOrder,1547803234.317973,409434,6,0
1,NewOrder,1547803234.317978,409447,0,0
2,Payment,1547803234.318227,409181,8,0
2,Payment,1547803234.710200,35192,2,0
1,NewOrder,1547803234.710228,35101,7,0
1,NewOrder,1547803234.710297,35031,4,0
2,Payment,1547803234.710314,34823,3,0
4,Delivery,1547803234.710341,344186,5,0
3,OrderStatus,1547803234.727426,3319,8,0
5,StockLevel,1547803234.727435,6598,6,0
2,Payment,1547803234.727436,326935,0,0
1,NewOrder,1547803234.727550,326806,1,0
1,NewOrder,1547803234.727550,326872,9,0
2,Payment,1547803234.730763,323492,8,0
2,Payment,1547803234.734053,320065,6,0
2,Payment,1547803234.745176,317926,3,0
1,NewOrder,1547803234.745346,317967,7,0
2,Payment,1547803234.745347,317869,4,0
1,NewOrder,1547803234.745405,317785,2,0
1,NewOrder,1547803235.054146,27296,6,0
1,NewOrder,1547803235.054270,27107,8,0
3,OrderStatus,1547803235.054373,3145,1,0
1,NewOrder,1547803235.054383,26998,0,0
2,Payment,1547803235.054431,17324,9,0
2,Payment,1547803235.054537,17214,5,0
3,OrderStatus,1547803235.057532,2497,1,0
1,NewOrder,1547803235.060038,21294,1,0
1,NewOrder,1547803235.063121,18246,3,0
1,NewOrder,1547803235.063202,18128,2,0
2,Payment,1547803235.063230,18121,4,0
2,Payment,1547803235.063325,18086,7,0
1,NewOrder,1547803235.071768,36132,9,0
3,OrderStatus,1547803235.071768,2479,5,0
2,Payment,1547803235.074255,15473,5,0
3,OrderStatus,1547803235.081354,2312,1,0
2,Payment,1547803235.081354,26546,2,0
1,NewOrder,1547803235.081362,43846,4,0
1,NewOrder,1547803235.081379,43735,3,0
2,Payment,1547803235.081392,26495,8,0
2,Payment,1547803235.081393,26523,0,0
3,OrderStatus,1547803235.081423,3006,7,0
1,NewOrder,1547803235.081452,43682,6,0
1,NewOrder,1547803235.083681,41425,1,0
2,Payment,1547803235.084439,23461,7,0
1,NewOrder,1547803235.089747,35434,5,0
1,NewOrder,1547803235.107900,26040,8,0
1,NewOrder,1547803235.107924,26025,2,0
1,NewOrder,1547803235.107924,26065,7,0
2,Payment,1547803235.107937,26002,0,0
2,Payment,1547803235.107986,25952,9,0
2,Payment,1547803235.125213,17799,6,0
2,Payment,1547803235.125216,17796,3,0
2,Payment,1547803235.125216,17767,1,0
4,Delivery,1547803235.125222,27181,5,0
5,StockLevel,1547803235.125229,5322,4,0
1,NewOrder,1547803235.130568,21761,4,0
2,Payment,1547803235.133956,18475,8,0
1,NewOrder,1547803235.133956,18348,9,0
2,Payment,1547803235.133960,18349,2,0
1,NewOrder,1547803235.133972,27880,0,0
1,NewOrder,1547803235.134001,27852,7,0
2,Payment,1547803235.142995,18747,1,0
1,NewOrder,1547803235.143024,18826,6,0
1,NewOrder,1547803235.143024,18816,3,0
2,Payment,1547803235.152318,451688,9,0
2,Payment,1547803235.152319,451573,2,0
1,NewOrder,1547803235.152342,827260,4,0
2,Payment,1547803235.152417,451646,5,0
2,Payment,1547803235.152442,451621,8,0
2,Payment,1547803235.161758,817744,1,0
1,NewOrder,1547803235.161853,817652,3,0
2,Payment,1547803235.161861,817614,6,0
1,NewOrder,1547803235.161868,817605,7,0
2,Payment,1547803235.161869,817558,0,0
2,Payment,1547803235.603906,650816,2,0
2,Payment,1547803235.604013,650782,9,0
2,Payment,1547803235.604085,650725,5,0
2,Payment,1547803235.604085,650608,8,0
1,NewOrder,1547803235.979446,442721,0,0
1,NewOrder,1547803235.979491,443087,6,0
5,StockLevel,1547803235.979491,76041,7,0
1,NewOrder,1547803235.979510,5142,1,0
1,NewOrder,1547803235.979515,442877,3,0
1,NewOrder,1547803235.979616,442592,4,0
2,Payment,1547803235.984663,437381,1,0
5,StockLevel,1547803236.055549,5950,7,0
1,NewOrder,1547803236.061512,360845,7,0
2,Payment,1547803236.254703,1676380,8,0
5,StockLevel,1547803236.254730,22593,2,0
2,Payment,1547803236.254802,1676165,9,0
2,Payment,1547803236.254830,1676178,5,0
1,NewOrder,1547803236.277337,1653760,2,0
2,Payment,1547803236.422069,1517763,1,0
1,NewOrder,1547803236.422180,1518143,0,0
2,Payment,1547803236.422310,1518093,4,0
1,NewOrder,1547803236.422369,1517509,7,0
2,Payment,1547803236.422401,1517398,3,0
2,Payment,1547803236.422586,1517266,6,0
1,NewOrder,1547803237.930997,52861,9,0
1,NewOrder,1547803237.931018,52739,5,0
1,NewOrder,1547803237.931089,52579,8,0
1,NewOrder,1547803237.931107,52600,2,0
2,Payment,1547803237.939811,43856,3,0
1,NewOrder,1547803237.939844,44029,1,0
1,NewOrder,1547803237.939871,43768,6,0
2,Payment,1547803237.939963,43814,7,0
2,Payment,1547803237.940334,43334,0,0
2,Payment,1547803237.940413,43256,4,0
1,NewOrder,1547803237.983652,51076,6,0
1,NewOrder,1547803237.983687,50950,3,0
2,Payment,1547803237.983687,42399,4,0
2,Payment,1547803237.983687,51059,8,0
2,Payment,1547803237.983687,50950,0,0
2,Payment,1547803237.983724,51007,2,0
1,NewOrder,1547803237.983771,50866,5,0
2,Payment,1547803237.983785,50837,7,0
1,NewOrder,1547803237.983871,50790,9,0
1,NewOrder,1547803237.983901,50761,1,0
2,Payment,1547803238.026105,17041,4,0
2,Payment,1547803238.034635,17392,7,0
1,NewOrder,1547803238.034664,17342,0,0
1,NewOrder,1547803238.034664,25921,5,0
2,Payment,1547803238.034664,17248,3,0
2,Payment,1547803238.034677,17313,1,0
3,OrderStatus,1547803238.034681,2608,9,0
1,NewOrder,1547803238.034739,17200,6,0
2,Payment,1547803238.034742,17302,2,0
2,Payment,1547803238.034761,17228,8,0
2,Payment,1547803238.037300,14685,9,0
5,StockLevel,1547803238.043170,5574,4,0
1,NewOrder,1547803238.048771,21395,4,0
2,Payment,1547803238.051926,18157,3,0
2,Payment,1547803238.051954,18156,6,0
3,OrderStatus,1547803238.052000,2374,9,0
2,Payment,1547803238.052001,18192,1,0
2,Payment,1547803238.052001,18187,8,0
1,NewOrder,1547803238.052016,18063,0,0
1,NewOrder,1547803238.052044,18237,7,0
1,NewOrder,1547803238.052055,576830,2,0
1,NewOrder,1547803238.054391,574660,9,0
2,Payment,1547803238.060602,568301,5,0
1,NewOrder,1547803238.070094,734529,0,0
3,OrderStatus,1547803238.070095,2500,3,0
1,NewOrder,1547803238.070131,734617,6,0
1,NewOrder,1547803238.070180,734507,4,0
1,NewOrder,1547803238.070199,734492,8,0
2,Payment,1547803238.070204,734426,1,0
2,Payment,1547803238.070293,734379,7,0
1,NewOrder,1547803238.072606,732052,3,0
1,NewOrder,1547803238.628919,459823,2,0
5,StockLevel,1547803238.628919,5854,5,0
3,OrderStatus,1547803238.629058,2689,9,0
1,NewOrder,1547803238.631763,456709,9,0
1,NewOrder,1547803238.634787,453784,5,0
2,Payment,1547803238.804649,411135,0,0
4,Delivery,1547803238.804649,411356,1,0
2,Payment,1547803238.804668,411239,3,0
1,NewOrder,1547803238.804680,411414,7,0
2,Payment,1547803238.804698,411179,4,0
2,Payment,1547803238.804701,411061,8,0
1,NewOrder,1547803238.804760,411424,6,0
4,Delivery,1547803239.088492,162022,9,0
1,NewOrder,1547803239.088588,162015,5,0
1,NewOrder,1547803239.088749,161922,2,0
