waiting for 1 second sample...
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   8   2  6032   8871 220M 358M  32G  26G   1G   4G 133936   1060    748     92 
   7   2  5805   8299 215M 358M  32G  26G   1G   4G 136480   1074    720     85 
   8   2  6029   8624 210M 358M  32G  26G   1G   4G 137048   1114   2236     87 
   9   2  5982   8402 235M 358M  32G  26G   1G   4G 129148   1035   1820     57 
  11   3  6430   8880 215M 358M  32G  26G   1G   4G 158328   1282    464     59 
   8   2  6196   8844 230M 358M  32G  26G   1G   4G 140060   1100    820     94 
   8   2  5806   8403 216M 358M  32G  26G   1G   4G 132732   1056    780     93 
   8   2  6029   8147 212M 358M  32G  26G   1G   4G 143408   1132   2312     99 
  10   2  6066   8463 221M 358M  32G  26G   1G   4G 148024   1168   2076     99 
   8   2  6093   8564 208M 358M  32G  26G   1G   4G 149340   1186    368     53 
  10   3  6694   9534 209M 358M  32G  26G   1G   4G 164100   1300    752     89 
  10   3  6443   8844 222M 358M  32G  26G   1G   4G 169248   1335   1072    124 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   8   2  6246   9109 215M 358M  32G  26G   1G   4G 143788   1180   2540    141 
   9   2  6225   9921 218M 358M  32G  26G   1G   4G 147652   1204   1188     97 
   8   3  5897   8413 205M 358M  32G  26G   1G   4G 133032   1067   1468     71 
   5   1  5666   8072 233M 358M  32G  26G   1G   4G 104704    842    572     68 
   9   2  6117   8656 229M 358M  32G  26G   1G   4G 151760   1220    512     68 
   9   3  6149   8617 230M 358M  32G  26G   1G   4G 145328   1152   2236     89 
   9   3  5923   8253 233M 358M  32G  26G   1G   4G 138240   1107   3332     75 
   8   2  6278   9137 218M 358M  32G  26G   1G   4G 150308   1190    524     66 
   9   3  6358   9288 223M 358M  32G  26G   1G   4G 152448   1219    600     72 
   8   2  5849   8603 225M 358M  32G  26G   1G   4G 140708   1124    548     72 
  14   4 15082  32899 217M 358M  32G  26G   1G   4G 137472   1191   2220     92 
   8   2  5587   8126 199M 358M  32G  26G   1G   4G 129856   1034   2768     66 
  10   3  6301   8826 200M 358M  32G  26G   1G   4G 159092   1272    616     87 
   8   3  6325   9214 232M 358M  32G  26G   1G   4G 147548   1173    756    105 
   9   2  6171   9195 233M 358M  32G  26G   1G   4G 158304   1270    784     97 
  10   2  6083   9269 204M 358M  32G  26G   1G   4G 154676   1227   2120     87 
   8   2  5670   7966 239M 358M  32G  26G   1G   4G 127804   1019   4248    120 
   0   0  2919   3714 234M 358M  32G  26G   1G   4G    584     17  50384    155 
   0   0  3594   4505 233M 358M  32G  26G   1G   4G    348     21  53248    161 
   0   0  3170   3815 234M 358M  32G  26G   1G   4G    296     11  50496    159 
   0   0  3062   3836 234M 358M  32G  26G   1G   4G    656     60  51744    171 
   0   0  2951   3664 233M 358M  32G  26G   1G   4G    696     11  49024    149 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0  3084   3663 233M 358M  32G  26G   1G   4G    316     12  51908    160 
   0   0  3271   4083 232M 358M  32G  26G   1G   4G    568     14  56804    177 
   0   0  3026   3650 232M 358M  32G  26G   1G   4G    544     31  50688    157 
   0   0  3370   4002 230M 358M  32G  26G   1G   4G    680    110  52260    178 
   0   0  2944   3547 230M 358M  32G  26G   1G   4G    320     11  52624    163 
   0   0  3060   3691 230M 358M  32G  26G   1G   4G    716     19  51652    162 
   0   0  3117   3992 229M 358M  32G  26G   1G   4G    296     10  51840    162 
   0   0  2981   3656 229M 358M  32G  26G   1G   4G    580     15  52160    163 
   0   0  3395   4055 229M 358M  32G  26G   1G   4G    432     68  57392    191 
   0   0  2947   3719 229M 358M  32G  26G   1G   4G    312     13  47380    147 
   0   0  3075   3732 229M 358M  32G  26G   1G   4G    324     17  50212    158 
   0   0  3248   4085 229M 358M  32G  26G   1G   4G    604     21  51840    162 
   0   0  3003   3560 228M 358M  32G  26G   1G   4G    204     27  51104    160 
   0   0  3065   3617 228M 358M  32G  26G   1G   4G    544     12  51576    179 
   0   0  2969   3559 228M 358M  32G  26G   1G   4G    280      8  49736    157 
   0   0  3062   3810 227M 358M  32G  26G   1G   4G    172     10  55872    175 
   0   0  3386   4187 226M 359M  32G  26G   1G   4G    692    107  50340    159 
   0   0  2976   3621 226M 359M  32G  26G   1G   4G     60      8  46368    146 
